nr,company_name,location_hq,region,usstate,country,continent,total_layoffs,announced_date,pct_laid_off,company_size_before_layoffs,company_size_after_layoffs,industry,funding_stage,funds_raised_m,year,latitude,longitude,month,quarter,severity
1,Tamara Mellon,Los Angeles,other,California,USA,North America,20.0,2020-03-12,40.0,50.0,30.0,Retail,Series C,90.0,2020,34.0536909,-118.242766,3,2020Q1,Severe (30%+)
2,HopSkipDrive,Los Angeles,other,California,USA,North America,8.0,2020-03-13,10.0,80.0,72.0,Transportation,Unknown,45.0,2020,34.0536909,-118.242766,3,2020Q1,Moderate (5-15%)
3,Panda Squad,San Francisco,San Francisco Bay Area,California,USA,North America,6.0,2020-03-13,75.0,8.0,2.0,Consumer,Seed,1.0,2020,37.7792588,-122.4193286,3,2020Q1,Severe (30%+)
4,Help.com,Austin,other,Texas,USA,North America,16.0,2020-03-16,100.0,16.0,0.0,Support,Seed,6.0,2020,30.2711286,-97.7436995,3,2020Q1,Severe (30%+)
5,Inspirato,Denver,other,Colorado,USA,North America,130.0,2020-03-16,22.0,591.0,461.0,Travel,Series C,79.0,2020,39.7392364,-104.984862,3,2020Q1,Major (15-30%)
6,Flytedesk,Boulder,other,Colorado,USA,North America,4.0,2020-03-18,20.0,20.0,16.0,Marketing,Seed,4.0,2020,40.0149856,-105.270545,3,2020Q1,Major (15-30%)
7,Remote Year,Chicago,other,Illinois,USA,North America,50.0,2020-03-19,50.0,100.0,50.0,Travel,Series B,17.0,2020,41.8755616,-87.6244212,3,2020Q1,Severe (30%+)
8,CTO.ai,Vancouver,Cascadia,British Columbia,Canada,North America,30.0,2020-03-20,50.0,60.0,30.0,Infrastructure,Seed,7.0,2020,49.2608724,-123.113952,3,2020Q1,Severe (30%+)
9,Flywheel Sports,New York City,other,New York,USA,North America,784.0,2020-03-20,98.0,800.0,16.0,Fitness,Acquired,120.0,2020,40.7127281,-74.0060152,3,2020Q1,Severe (30%+)
10,Compass,New York City,other,New York,USA,North America,375.0,2020-03-23,15.0,2500.0,2125.0,Real Estate,Series G,1600.0,2020,40.7127281,-74.0060152,3,2020Q1,Major (15-30%)
11,Convene,New York City,other,New York,USA,North America,150.0,2020-03-23,18.0,833.0,683.0,Real Estate,Series D,280.0,2020,40.7127281,-74.0060152,3,2020Q1,Major (15-30%)
12,GrayMeta,Los Angeles,other,California,USA,North America,20.0,2020-03-23,40.0,50.0,30.0,Data,Unknown,7.0,2020,34.0536909,-118.242766,3,2020Q1,Severe (30%+)
13,Ladder Life,Palo Alto,San Francisco Bay Area,California,USA,North America,13.0,2020-03-23,25.0,52.0,39.0,Finance,Series C,94.0,2020,37.4443293,-122.1598465,3,2020Q1,Major (15-30%)
14,Leafly,Seattle,Cascadia,Washington,USA,North America,91.0,2020-03-23,50.0,182.0,91.0,Retail,Acquired,2.0,2020,47.6038321,-122.330062,3,2020Q1,Severe (30%+)
15,The Guild,Austin,other,Texas,USA,North America,38.0,2020-03-23,22.0,173.0,135.0,Travel,Series B,36.0,2020,30.2711286,-97.7436995,3,2020Q1,Major (15-30%)
16,Triplebyte,San Francisco,San Francisco Bay Area,California,USA,North America,15.0,2020-03-23,17.0,88.0,73.0,HR,Series B,48.0,2020,37.7792588,-122.4193286,3,2020Q1,Major (15-30%)
17,Foodsby,Minneapolis,other,Minnesota,USA,North America,87.0,2020-03-24,67.0,130.0,43.0,Food,Series B,20.0,2020,44.9772995,-93.2654692,3,2020Q1,Severe (30%+)
18,Sonder,San Francisco,San Francisco Bay Area,California,USA,North America,400.0,2020-03-24,33.0,1212.0,812.0,Travel,Series D,359.0,2020,37.7792588,-122.4193286,3,2020Q1,Severe (30%+)
19,Zeus Living,San Francisco,San Francisco Bay Area,California,USA,North America,80.0,2020-03-24,30.0,267.0,187.0,Real Estate,Series B,79.0,2020,37.7792588,-122.4193286,3,2020Q1,Severe (30%+)
20,Jama,Portland,Cascadia,Oregon,USA,North America,12.0,2020-03-25,5.0,240.0,228.0,Product,Unknown,233.0,2020,45.5202471,-122.674194,3,2020Q1,Moderate (5-15%)
21,OutboundEngine,Austin,other,Texas,USA,North America,52.0,2020-03-25,28.0,186.0,134.0,Marketing,Series C,48.0,2020,30.2711286,-97.7436995,3,2020Q1,Major (15-30%)
22,Overtime,New York City,other,New York,USA,North America,30.0,2020-03-25,23.0,130.0,100.0,Media,Series B,35.0,2020,40.7127281,-74.0060152,3,2020Q1,Major (15-30%)
23,TripActions,Palo Alto,San Francisco Bay Area,California,USA,North America,300.0,2020-03-25,25.0,1200.0,900.0,Travel,Series D,,2020,37.4443293,-122.1598465,3,2020Q1,Major (15-30%)
24,WanderJaunt,San Francisco,San Francisco Bay Area,California,USA,North America,56.0,2020-03-25,23.0,243.0,187.0,Travel,Series B,26.0,2020,37.7792588,-122.4193286,3,2020Q1,Major (15-30%)
25,Wonderschool,San Francisco,San Francisco Bay Area,California,USA,North America,50.0,2020-03-25,75.0,67.0,17.0,Education,Series A,24.0,2020,37.7792588,-122.4193286,3,2020Q1,Severe (30%+)
26,B8ta,San Francisco,San Francisco Bay Area,California,USA,North America,250.0,2020-03-26,50.0,500.0,250.0,Retail,Series C,88.0,2020,37.7792588,-122.4193286,3,2020Q1,Severe (30%+)
27,Consider.co,Mountain View,San Francisco Bay Area,California,USA,North America,13.0,2020-03-26,100.0,13.0,0.0,Other,Seed,5.0,2020,37.3893889,-122.0832101,3,2020Q1,Severe (30%+)
28,Ecobee,Toronto,other,Ontario,Canada,North America,47.0,2020-03-26,10.0,470.0,423.0,Energy,Series C,149.0,2020,43.6534817,-79.3839347,3,2020Q1,Moderate (5-15%)
29,GoSpotCheck,Denver,other,Colorado,USA,North America,23.0,2020-03-26,20.0,115.0,92.0,Retail,Series B,47.0,2020,39.7392364,-104.984862,3,2020Q1,Major (15-30%)
30,Peerspace,San Francisco,San Francisco Bay Area,California,USA,North America,41.0,2020-03-26,75.0,55.0,14.0,Real Estate,Series B,34.0,2020,37.7792588,-122.4193286,3,2020Q1,Severe (30%+)
31,Puppet,Portland,Cascadia,Oregon,USA,North America,50.0,2020-03-26,10.0,500.0,450.0,Infrastructure,Series F,149.0,2020,45.5202471,-122.674194,3,2020Q1,Moderate (5-15%)
32,Bench,Vancouver,Cascadia,British Columbia,Canada,North America,47.0,2020-03-27,10.0,470.0,423.0,Finance,Series B,49.0,2020,49.2608724,-123.113952,3,2020Q1,Moderate (5-15%)
33,Bevi,Boston,other,Massachusetts,USA,North America,30.0,2020-03-27,20.0,150.0,120.0,Food,Series C,60.0,2020,42.3554334,-71.060511,3,2020Q1,Major (15-30%)
34,Bird,Los Angeles,other,California,USA,North America,406.0,2020-03-27,30.0,1353.0,947.0,Transportation,Series D,623.0,2020,34.0536909,-118.242766,3,2020Q1,Severe (30%+)
35,Blueground,New York City,other,New York,USA,North America,130.0,2020-03-27,25.0,520.0,390.0,Real Estate,Series B,77.0,2020,40.7127281,-74.0060152,3,2020Q1,Major (15-30%)
36,DataRobot,Boston,other,Massachusetts,USA,North America,200.0,2020-03-27,16.7,1200.0,1000.0,Data,Series E,430.0,2020,42.3554334,-71.060511,3,2020Q1,Major (15-30%)
37,Getaround,San Francisco,San Francisco Bay Area,California,USA,North America,100.0,2020-03-27,25.0,400.0,300.0,Transportation,Series D,403.0,2020,37.7792588,-122.4193286,3,2020Q1,Major (15-30%)
38,HOOQ,Singapore,other,non,Singapore,Asia,250.0,2020-03-27,100.0,250.0,0.0,Consumer,Unknown,95.0,2020,1.2899175,103.8519072,3,2020Q1,Severe (30%+)
39,Knotel,New York City,other,New York,USA,North America,127.0,2020-03-27,30.0,423.0,296.0,Real Estate,Series C,560.0,2020,40.7127281,-74.0060152,3,2020Q1,Severe (30%+)
40,Mogo,Vancouver,Cascadia,British Columbia,Canada,North America,78.0,2020-03-27,30.0,260.0,182.0,Finance,Post-IPO,201.0,2020,49.2608724,-123.113952,3,2020Q1,Severe (30%+)
41,OneWeb,London,other,England,UK,Europe,451.0,2020-03-27,85.0,531.0,80.0,Aerospace,Unknown,,2020,51.4893335,-0.144055085,3,2020Q1,Severe (30%+)
42,Textio,Seattle,Cascadia,Washington,USA,North America,30.0,2020-03-27,20.0,150.0,120.0,HR,Unknown,41.0,2020,47.6038321,-122.330062,3,2020Q1,Major (15-30%)
43,Zipcar,Boston,other,Massachusetts,USA,North America,100.0,2020-03-27,20.0,500.0,400.0,Transportation,Acquired,107.0,2020,42.3554334,-71.060511,3,2020Q1,Major (15-30%)
44,TravelTriangle,Gurugram,other,Haryana,India,Asia,250.0,2020-03-28,50.0,500.0,250.0,Travel,Series D,47.0,2020,28.4646148,77.0299194,3,2020Q1,Severe (30%+)
45,Amplero,Seattle,Cascadia,Washington,USA,North America,17.0,2020-03-29,100.0,17.0,0.0,Marketing,Series B,25.0,2020,47.6038321,-122.330062,3,2020Q1,Severe (30%+)
46,ZipRecruiter,Los Angeles,other,California,USA,North America,400.0,2020-03-29,39.0,1026.0,626.0,HR,Series B,219.0,2020,34.0536909,-118.242766,3,2020Q1,Severe (30%+)
47,FabHotels,New Delhi,other,Delhi,India,Asia,80.0,2020-03-30,20.0,400.0,320.0,Travel,Series B,48.0,2020,28.6138954,77.2090057,3,2020Q1,Major (15-30%)
48,Hibob,Tel Aviv,other,non,Israel,Asia,70.0,2020-03-30,30.0,233.0,163.0,HR,Series A,45.0,2020,32.0852997,34.7818064,3,2020Q1,Severe (30%+)
49,Iris Nova,New York City,other,New York,USA,North America,9.0,2020-03-30,50.0,18.0,9.0,Food,Seed,15.0,2020,40.7127281,-74.0060152,3,2020Q1,Severe (30%+)
50,Loftsmart,New York City,other,New York,USA,North America,25.0,2020-03-30,75.0,33.0,8.0,Real Estate,Series A,18.0,2020,40.7127281,-74.0060152,3,2020Q1,Severe (30%+)
51,Maven,Seattle,Cascadia,Washington,USA,North America,31.0,2020-03-30,9.0,344.0,313.0,Media,Post-IPO,77.0,2020,47.6038321,-122.330062,3,2020Q1,Moderate (5-15%)
52,PeerStreet,Los Angeles,other,California,USA,North America,51.0,2020-03-30,30.0,170.0,119.0,Finance,Series C,110.0,2020,34.0536909,-118.242766,3,2020Q1,Severe (30%+)
53,RigUp,Austin,other,Texas,USA,North America,120.0,2020-03-30,25.0,480.0,360.0,Energy,Series D,423.0,2020,30.2711286,-97.7436995,3,2020Q1,Major (15-30%)
54,Thumbtack,San Francisco,San Francisco Bay Area,California,USA,North America,250.0,2020-03-30,30.0,833.0,583.0,Consumer,Series F,423.0,2020,37.7792588,-122.4193286,3,2020Q1,Severe (30%+)
55,AdRoll,Salt Lake City,other,Utah,USA,North America,210.0,2020-03-31,30.0,700.0,490.0,Marketing,Series C,89.0,2020,40.7596198,-111.886797,3,2020Q1,Severe (30%+)
56,DialSource,Sacramento,other,California,USA,North America,5.0,2020-03-31,14.0,36.0,31.0,Marketing,Series B,26.0,2020,38.5810606,-121.493895,3,2020Q1,Moderate (5-15%)
57,KeepTruckin,San Francisco,San Francisco Bay Area,California,USA,North America,349.0,2020-03-31,18.0,1939.0,1590.0,Logistics,Series D,227.0,2020,37.7792588,-122.4193286,3,2020Q1,Major (15-30%)
58,Rover,Seattle,Cascadia,Washington,USA,North America,194.0,2020-03-31,41.0,473.0,279.0,Consumer,Series G,310.0,2020,47.6038321,-122.330062,3,2020Q1,Severe (30%+)
59,Turo,San Francisco,San Francisco Bay Area,California,USA,North America,108.0,2020-03-31,30.0,360.0,252.0,Transportation,Series E,467.0,2020,37.7792588,-122.4193286,3,2020Q1,Severe (30%+)
60,uShip,Austin,other,Texas,USA,North America,65.0,2020-03-31,37.0,176.0,111.0,Logistics,Series D,69.0,2020,30.2711286,-97.7436995,3,2020Q1,Severe (30%+)
61,Zenoti,Seattle,Cascadia,Washington,USA,North America,17.0,2020-03-31,4.0,425.0,408.0,Fitness,Series C,91.0,2020,47.6038321,-122.330062,3,2020Q1,Minor (<5%)
62,Acko,Mumbai,other,Maharashtra,India,Asia,45.0,2020-04-01,9.0,500.0,455.0,Finance,Unknown,143.0,2020,19.0785451,72.878176,4,2020Q2,Moderate (5-15%)
63,Aqua Security,Tel Aviv,other,non,Israel,Asia,24.0,2020-04-01,9.0,267.0,243.0,Security,Series C,100.0,2020,32.0852997,34.7818064,4,2020Q2,Moderate (5-15%)
64,Crayon,Boston,other,Massachusetts,USA,North America,20.0,2020-04-01,20.0,100.0,80.0,Marketing,Series A,16.0,2020,42.3554334,-71.060511,4,2020Q2,Major (15-30%)
65,Earnin,Palo Alto,San Francisco Bay Area,California,USA,North America,50.0,2020-04-01,20.0,250.0,200.0,Finance,Series C,190.0,2020,37.4443293,-122.1598465,4,2020Q2,Major (15-30%)
66,Highsnobiety,Berlin,other,Berlin,Germany,Europe,51.0,2020-04-01,25.0,204.0,153.0,Media,Series A,9.0,2020,52.5170365,13.3888599,4,2020Q2,Major (15-30%)
67,Incredible Health,San Francisco,San Francisco Bay Area,California,USA,North America,9.0,2020-04-01,40.0,23.0,14.0,Healthcare,Series A,15.0,2020,37.7792588,-122.4193286,4,2020Q2,Severe (30%+)
